hotel_id,hotel_name,hotel_formerly_name,hotel_translated_name,addressline1,addressline2,zipcode,city,state,country,countryisocode,longitude,latitude
5912,"Holiday Inn London - Heathrow M4,Jct.4",,??????M4Jct.4???????????? ,"Sipson Road, West Drayton, Middlesex",,UB7 0HP,????,,????,GB,-0.456474,51.493984
5976,Hilton Cardiff,,????????????????,Kingsway,,CF10 3HH,??????,,????,GB,-3.178632,51.482866
6007,Pembridge Palace Hotel,,??????????????,55 Princes Square,,W2 4QB,????,"London, City of",????,GB,-0.192045,51.513371
6016,Novotel London Waterloo Hotel,,????????????????????,113 Lambeth Road,,SE1 7LS,????,,????,GB,-0.118774,51.49468
6064,Hilton Birmingham Metropole Hotel,,??????????????????,National Exhibition Centre,,B40 1PP,??????,,????,GB,-1.715722,52.450453
6090,Holiday Inn Southampton,,????????????????,Herbert Walker Avenue,,SO15 1AG,????????,,????,GB,-1.40875,50.900124
6166,Mercure Wetherby,Ramada Jarvis Hotel,??????????????,Leeds Road,,LS22 5HE,??????,,????,GB,-1.387222,53.924051
6188,"Thistle Holborn, The Kingsley",The Kingsley A Thistle Hotel,??????????????????,Bloomsbury Way,,WC1A 2SD,????,,????,GB,-0.124459,51.517597
6196,Ashburn Hotel,,??????????,111 Cromwell Road,,SW7 4DP,????,,????,GB,-0.186297,51.494461
6248,Holiday Inn Edinburgh,Forte Posthouse,??????????????,"132 Corstorphine Road, Costorphine",,EH12 6UA,??????,,????,GB,-3.267483,55.942516
6287,Holiday Inn Express London Luton Airport,,????????????????????????,"2 Percival Way, Luton Airport",,LU2 9GP,????,,????,GB,-0.380533,51.87669
6380,Crowne Plaza London Kings Cross,Crowne Plaza London - Kings Cross,????????????????????????,1 Kings Cross Road,,WC1X 9HX,????,,????,GB,-0.113934,51.526688
6390,Slieve Donard Resort and Spa,,??????????????????????,"Downs Road, Newcastle",,BT33 0AH,????????,Belfast,????,GB,-5.884777,54.215705
6473,One Aldwych Hotel,,????????????????,One Aldwych,,WC2B 4BZ,????,,????,GB,-0.11859,51.511834
6498,Francis Hotel Bath - MGallery Collection,,??????????????????????????,Queen Square,,BA1 2HH,????,"South West,?England",????,GB,-2.363241,51.382723
6551,Europa Hotel Belfast,,??????????????????,Great Victoria Street,,BT2 7AP,??????????,Belfast,????,GB,-5.934881,54.594816
6631,Shakespeare Hotel,,????????????,22-28 Norfolk square,,W2 1RS,????,Westminster,????,GB,-0.172952,51.515958
6634,Radisson Blu Hotel Leeds,,????????????-????,No 1 The Light The Headrow,,LS1 8TL,????,"Yorkshire and the Humber,England",????,GB,1.546759,53.799991
6711,Crowne Plaza Birmingham City,,??????????????????????&??????,Central Square,,B1 1HH,??????,,????,GB,-1.905836,52.477818
6713,Mercure Bewdley The Heath Hotel,Ramada Hotel,????????????????????,"Habberley Road, Bewdley",,DY12 1LA,??????????,,????,GB,-2.292935,52.382947
6714,Holiday Inn Corby Kettering A43,Hilton Hotel,????????????????A43????,Geddington Rd,,NN18 8ET,????,,????,GB,-0.66095,52.482372
6735,The Chiltern Hotel Luton,,????????????????,Waller Avenue,,LU4 9RU,????,,????,GB,-0.44983,51.896679
6759,Holiday Inn Express London-Hammersmith,,??????????????????????????,124 King Street,,W6 0QU,????,,????,GB,-0.231475,51.49267
6775,The Principal Manchester,,????????????????????,Oxford Street,,M60 7HA,????????,,????,GB,-2.240567,53.474433
6779,Hilton Paddington Hotel,Great Western Royal Hotel,????????????????,146 Praed Street,,W2 1EE,????,,????,GB,-0.176,51.5156
6822,Doubletree by Hilton Hotel Coventry,,??????????????????????,"Paradise Way, Walsgrave Triangle",,CV2 2ST,??????,,????,GB,-1.432815,52.436758
6896,Holiday Inn Belfast Hotel,,??????????????????,22 ormeau avenue,,bt2 8hs,??????????,,????,GB,-5.930245,54.59272
6941,Bromsgrove Hotel & Spa,,??????????????????????,Birmingham Road,,B61 0JB,??????,,????,GB,-2.047544,52.367696
6964,Mercure Manchester Piccadilly Hotel,Piccadilly Hotel,????????????????????????,"Piccadilly Plaza, Portland Street",,M1 4PH,????????,,????,GB,-2.237585,53.479389
6971,Alexandra Hotel,,??????????????,The Parade,,PH33 6AZ,??????,,????,GB,-5.106905,56.819344
6991,Holiday Inn Cardiff City,,??????????????????,Castle Street,,CF10 1XD,??????,,????,GB,-3.184343,51.480865
7037,Best Western Cromwell Hotel,,????????????????,108-112 Cromwell Road,,SW7 4ES,????,"London, City of City",????,GB,-0.184321,51.49522
7063,Hilton East Midlands Airport Hotel,,????????????????????????,"Junction 24, M1, Derby Road",,DE74 2YW,????,,????,GB,-1.297813,52.846682
7073,Doubletree by Hilton Dunblane Hydro Hotel,,??????????????????????????,Perth Road,,FK15 0HG,??????,,????,GB,-3.9544,56.1913
7117,Holiday Inn Gloucester / Cheltenham,,????????/??????????????????,"Crest Way, Barnwood",,GL4 3RX,????????,,????,GB,-2.193502,51.864567
7150,Hilton Coylumbridge Hotel,,????????????????,Coylumbridge,,PH22 1QN,????????,,????,GB,-3.804463,57.173741
